z,Effective Stack Height,class
0,147,A
10,147,A
20,147,A
30,147,A
40,147,A
50,147,A
60,147,A
70,147,A
80,147,A
90,147,A
100,147,A
110,147,A
120,147,A
130,147,A
140,147,A
150,147,A
160,147,A
170,147,A
180,147,A
190,147,A
200,147,A
210,147,A
220,147,A
230,147,A
240,147,A
250,147,A
260,147,A
270,147,A
280,147,A
290,147,A
300,147,A
310,147,A
320,147,A
330,147,A
340,147,A
350,147,A
360,147,A
370,147,A
380,147,A
390,147,A
400,147,A
0,147,B
10,147,B
20,147,B
30,147,B
40,147,B
50,147,B
60,147,B
70,147,B
80,147,B
90,147,B
100,147,B
110,147,B
120,147,B
130,147,B
140,147,B
150,147,B
160,147,B
170,147,B
180,147,B
190,147,B
200,147,B
210,147,B
220,147,B
230,147,B
240,147,B
250,147,B
260,147,B
270,147,B
280,147,B
290,147,B
300,147,B
310,147,B
320,147,B
330,147,B
340,147,B
350,147,B
360,147,B
370,147,B
380,147,B
390,147,B
400,147,B
0,147,C
10,147,C
20,147,C
30,147,C
40,147,C
50,147,C
60,147,C
70,147,C
80,147,C
90,147,C
100,147,C
110,147,C
120,147,C
130,147,C
140,147,C
150,147,C
160,147,C
170,147,C
180,147,C
190,147,C
200,147,C
210,147,C
220,147,C
230,147,C
240,147,C
250,147,C
260,147,C
270,147,C
280,147,C
290,147,C
300,147,C
310,147,C
320,147,C
330,147,C
340,147,C
350,147,C
360,147,C
370,147,C
380,147,C
390,147,C
400,147,C
0,147,D
10,147,D
20,147,D
30,147,D
40,147,D
50,147,D
60,147,D
70,147,D
80,147,D
90,147,D
100,147,D
110,147,D
120,147,D
130,147,D
140,147,D
150,147,D
160,147,D
170,147,D
180,147,D
190,147,D
200,147,D
210,147,D
220,147,D
230,147,D
240,147,D
250,147,D
260,147,D
270,147,D
280,147,D
290,147,D
300,147,D
310,147,D
320,147,D
330,147,D
340,147,D
350,147,D
360,147,D
370,147,D
380,147,D
390,147,D
400,147,D
0,45,E
10,45,E
20,45,E
30,45,E
40,45,E
50,45,E
60,45,E
70,45,E
80,45,E
90,45,E
100,45,E
110,45,E
120,45,E
130,45,E
140,45,E
150,45,E
160,45,E
170,45,E
180,45,E
190,45,E
200,45,E
210,45,E
220,45,E
230,45,E
240,45,E
250,45,E
260,45,E
270,45,E
280,45,E
290,45,E
300,45,E
310,45,E
320,45,E
330,45,E
340,45,E
350,45,E
360,45,E
370,45,E
380,45,E
390,45,E
400,45,E
0,45,F
10,45,F
20,45,F
30,45,F
40,45,F
50,45,F
60,45,F
70,45,F
80,45,F
90,45,F
100,45,F
110,45,F
120,45,F
130,45,F
140,45,F
150,45,F
160,45,F
170,45,F
180,45,F
190,45,F
200,45,F
210,45,F
220,45,F
230,45,F
240,45,F
250,45,F
260,45,F
270,45,F
280,45,F
290,45,F
300,45,F
310,45,F
320,45,F
330,45,F
340,45,F
350,45,F
360,45,F
370,45,F
380,45,F
390,45,F
400,45,F
